#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Jan 1978 to Dec 2015
# Report Instantaneous Data As: End of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 910: Elbow Lake, WA
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units  Sensor Depth  Element Code  Description                 
# Snow Water Equivalent       Value       None           Instantaneous - End of Month  N/A        Inches             N/A           WTEQ                                      
# Snow Water Equivalent       Delta       None           Instantaneous - End of Month  N/A        Inches             N/A           WTEQ                                      
# Snow Depth                  Value       None           Instantaneous - End of Month  N/A        Inches             N/A           SNWD                                      
# Snow Depth                  Delta       None           Instantaneous - End of Month  N/A        Inches             N/A           SNWD                                      
# Precipitation Accumulation  Value       None           Instantaneous - End of Month  N/A        Inches             N/A           PREC          Precipitation accumulation  
# Precipitation Accumulation  Delta       None           Instantaneous - End of Month  N/A        Inches             N/A           PREC          Precipitation accumulation  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Elbow Lake (910) 
# Washington  SNOTEL Site - 3040 ft
# Reporting Frequency: Monthly; Date Range: Jan 1978 to Dec 2015
#
# As of: Jan 23, 2017 2:15:03 PM GMT-08:00
#
Date,Snow Water Equivalent (in) End of Month Values,Change In Snow Water Equivalent (in),Snow Depth (in) End of Month Values,Change In Snow Depth (in),Precipitation Accumulation (in) End of Month Values,Change In Precipitation Accumulation (in)
Aug 1995,0.0,,,,,
Sep 1995,0.0,0.0,,,0.0,
Oct 1995,0.0,0.0,,,19.7,19.7
Nov 1995,0.0,0.0,,,64.1,44.4
Dec 1995,5.2,5.2,,,88.6,24.5
Jan 1996,8.9,3.7,,,107.3,18.7
Feb 1996,8.8,-0.1,,,124.8,17.5
Mar 1996,7.8,-1.0,,,131.3,6.5
Apr 1996,0.0,-7.8,,,144.2,12.9
May 1996,0.0,0.0,,,155.3,11.1
Jun 1996,0.0,0.0,,,157.3,2.0
Jul 1996,0.0,0.0,,,160.9,3.6
Aug 1996,0.0,0.0,,,163.0,2.1
Sep 1996,0.0,0.0,,,0.0,-163.0
Oct 1996,2.5,2.5,5,,18.9,18.9
Nov 1996,9.0,6.5,15,10,39.8,20.9
Dec 1996,31.4,22.4,76,61,68.6,28.8
Jan 1997,36.9,5.5,71,-5,95.2,26.6
Feb 1997,48.1,11.2,95,24,108.4,13.2
Mar 1997,59.4,11.3,120,25,135.9,27.5
Apr 1997,49.1,-10.3,92,-28,148.6,12.7
May 1997,14.6,-34.5,17,-75,156.4,7.8
Jun 1997,0.0,-14.6,1,-16,163.3,6.9
Jul 1997,0.0,0.0,0,-1,169.5,6.2
Aug 1997,0.0,0.0,0,0,171.2,1.7
Sep 1997,0.0,0.0,0,0,0.0,-171.2
Oct 1997,0.0,0.0,0,0,23.2,23.2
Nov 1997,1.3,1.3,2,2,38.7,15.5
Dec 1997,9.4,8.1,31,29,56.6,17.9
Jan 1998,22.7,13.3,59,28,81.4,24.8
Feb 1998,28.4,5.7,77,18,92.7,11.3
Mar 1998,28.4,0.0,63,-14,103.5,10.8
Apr 1998,15.7,-12.7,29,-34,106.3,2.8
May 1998,0.0,-15.7,,,110.2,3.9
Jun 1998,0.0,0.0,,,113.9,3.7
Jul 1998,0.0,0.0,,,117.5,3.6
Aug 1998,0.0,0.0,,,117.7,0.2
Sep 1998,0.0,0.0,,,0.0,-117.7
Oct 1998,0.0,0.0,,,10.1,10.1
Nov 1998,6.7,6.7,24,,46.1,36.0
Dec 1998,20.4,13.7,52,28,84.1,38.0
Jan 1999,36.3,15.9,103,51,107.9,23.8
Feb 1999,61.3,25.0,,,135.0,27.1
Mar 1999,73.1,11.8,160,,150.7,15.7
Apr 1999,65.3,-7.8,121,-39,155.2,4.5
May 1999,45.6,-19.7,79,-42,163.0,7.8
Jun 1999,10.3,-35.3,18,-61,167.5,4.5
Jul 1999,0.0,-10.3,,,169.9,2.4
Aug 1999,0.0,0.0,,,173.2,3.3
Sep 1999,0.0,0.0,,,0.0,-173.2
Oct 1999,0.0,0.0,,,19.3,19.3
Nov 1999,4.2,4.2,17,,49.7,30.4
Dec 1999,18.9,14.7,56,39,75.4,25.7
Jan 2000,37.6,18.7,103,47,93.2,17.8
Feb 2000,42.6,5.0,,,102.9,9.7
Mar 2000,50.6,8.0,104,,114.8,11.9
Apr 2000,36.4,-14.2,171,67,124.0,9.2
May 2000,12.1,-24.3,25,-146,134.3,10.3
Jun 2000,0.0,-12.1,,,144.1,9.8
Jul 2000,0.0,0.0,171,,146.6,2.5
Aug 2000,0.0,0.0,,,150.1,3.5
Sep 2000,0.0,0.0,0,,0.0,-150.1
Oct 2000,0.0,0.0,0,0,9.8,9.8
Nov 2000,2.8,2.8,12,12,17.7,7.9
